"ALKBH5" "FTO" "IGF2BP1" "IGF2BP2" "IGF2BP3" "METTL14" "METTL3" "KIAA1429" "WTAP" "YTHDC1" "YTHDC2" "YTHDF1" "YTHDF2" "YTHDF3" "RBM15" "CancerType"
"Sample_4062" -0.620968 -0.351179 -0.62746 0.91065 -0.019516 0.05978 -0.398358 -0.13347 -0.543703 -0.2486 -0.6576 -0.93098 -0.410316 -0.37968 -1.6649 "PRAD"
"Sample_4063" -0.686935 -0.527111 -0.1919 1.383 0.078277 0.0889 -0.480835 -0.71644 -0.623307 -0.5184 -0.879 -1.18121 -0.637458 -0.93786 -2.1519 "PRAD"
"Sample_4064" -0.5493 -0.306863 -0.36218 0.59819 0.097816 0.08321 -0.596977 -0.23739 -0.880263 -0.16796 -0.86166 -0.84157 -0.463068 -0.269865 -1.9586 "PRAD"
"Sample_4065" 0.001045 -0.024636 -0.45348 0.34363 0.040171 0.01273 -0.269461 0.12064 -0.42332 0.02822 -0.76924 -0.46529 -0.357028 -0.243664 -1.5134 "PRAD"
"Sample_4066" -0.227481 -0.129767 -0.46585 -0.32647 0.023612 0.16329 -0.11156 0.4248 -0.502469 -0.01898 -0.3995 -0.53845 -0.26109 -0.179371 -1.5012 "PRAD"
"Sample_4067" -0.271079 -0.09374 0.0816 -0.33351 0.029741 0.04687 -0.368581 -0.39201 -0.716616 -0.24116 0.44772 -1.25815 -0.510895 -0.749138 -0.85486 "KIRC"
"Sample_4068" -0.057085 -0.154765 -0.36632 -0.58529 -0.137212 0.03614 -0.476795 -0.748 -0.461853 -0.21549 -0.41237 -1.18183 -0.121241 -1.047796 -0.99552 "KIRC"
"Sample_4069" -0.396861 -0.389245 -0.33119 -0.71296 -0.045303 -0.32534 -0.556877 -0.92031 -0.360824 -0.46432 -0.54423 -1.14312 -0.31217 -0.892764 -0.81997 "KIRC"
"Sample_4070" -0.241454 -0.068751 0.17796 -0.71564 -0.102269 -0.06896 -0.092595 -0.0596 -0.822553 -0.05226 -0.30041 -1.07684 -0.469261 -0.573553 -0.45705 "KIRC"
"Sample_4071" -0.38431 -0.459364 0.73045 -0.88934 -0.081184 -0.31804 -0.049641 -0.01697 0.277496 0.21663 0.19226 0.20632 0.081855 0.629325 -0.90254 "KIRC"
"Sample_4072" -1.142572 -0.463785 0.29483 -0.36539 0.061193 0.15922 -0.523978 -0.99688 -1.446984 -0.26797 -0.43478 -1.00631 -0.758347 -0.542261 -2.5868 "KIRC"
"Sample_4073" -0.492047 0.025824 0.34219 -0.52798 -0.058832 -0.12057 -0.361061 -0.1032 -0.663027 -0.109 0.01749 -0.93218 -0.39229 -0.60195 -0.64001 "KIRC"
"Sample_4074" -0.448273 -0.055788 0.16866 -0.63103 -0.041182 -0.35024 -0.331518 0.0873 -0.319129 -0.07525 -0.30845 -0.92155 -0.251351 -0.600169 -0.82414 "KIRC"
"Sample_4075" -0.392442 0.093203 0.22904 -0.48452 -0.118058 -0.23793 -0.313426 -0.08919 -0.514308 -0.09603 -0.21854 -0.94606 -0.394983 -0.417145 -0.63482 "KIRC"
"Sample_4076" -0.037257 0.00473 0.24151 -0.40396 0.018813 -0.00055 -0.468954 -0.09694 -0.65431 -0.2318 -0.03303 -1.02632 -0.774574 -1.020704 -1.0932 "KIRC"
"Sample_4077" -0.361779 -0.249068 0.16822 0.19516 -0.008645 -0.02974 -0.365429 -0.05452 -0.583226 -0.0756 0.41545 -0.9644 -0.387555 -0.520563 -0.79627 "KIRC"
"Sample_4078" -0.435722 -0.514148 0.58854 -0.56765 -0.087123 -0.25455 -0.424719 -0.08139 -0.610449 -0.04269 0.11434 -1.11683 -0.254793 -0.345808 -0.59504 "KIRC"
"Sample_4079" 0.657926 -0.206127 -0.49222 -0.51977 0.050903 0.27362 0.331151 0.9647 0.270837 0.82094 1.37784 -0.32021 0.144225 0.344623 0.12545 "PRAD"
"Sample_4080" 0.221439 0.399265 -2.04532 -0.15516 0.171803 0.45567 0.314363 0.49631 0.278949 0.52054 0.2301 -0.26515 0.052094 -0.105604 -0.33385 "PRAD"
"Sample_4081" -0.438124 -0.235991 -0.20807 -0.14627 0.247671 0.30519 -0.040832 0.27085 -0.136813 -0.115 -0.14444 -0.65281 -0.540367 -0.312097 -1.5651 "PRAD"
"Sample_4082" 0.090434 0.056879 -0.13351 -0.07196 0.06714 0.19906 0.26975 0.46507 0.046059 0.36777 -0.50292 -0.07743 -0.071932 0.270665 -0.45786 "PRAD"
"Sample_4083" -0.31662 -0.207265 0.10676 -0.31319 0.079291 0.2448 -0.065534 -0.32235 -0.146093 -0.1999 -0.35589 -0.68288 -0.319805 -0.389345 -1.0335 "PRAD"
"Sample_4084" -0.254307 -0.287266 -0.32101 0.63372 0.081082 0.32031 0.229315 0.55602 -0.119686 0.2051 -0.00885 0.09764 -0.088741 0.361231 -1.0537 "PRAD"
"Sample_4085" 0.050343 -0.004776 -0.35902 -0.0278 0.17684 0.43549 0.371433 0.72286 -0.18504 0.65146 0.43341 -0.31884 -0.266378 0.141845 -0.70086 "PRAD"
"Sample_4086" 0.018302 0.562785 -0.31471 -0.05825 0.180869 0.38727 0.149633 0.73395 -0.147845 0.48486 0.12542 -0.17585 -0.154491 0.363589 -1.1071 "PRAD"
"Sample_4087" -0.137223 -0.003516 0.01376 0.24044 0.167116 0.34907 -0.016116 0.90096 -0.403749 0.52366 -0.31123 -0.20642 -0.071782 -0.20374 -1.4002 "PRAD"
"Sample_4088" -0.019159 0.048511 0.05374 0.16623 0.161498 0.30618 0.038369 0.3993 -0.350757 0.40845 0.05812 -0.11864 -0.137912 0.228302 -0.9875 "PRAD"
"Sample_4089" 0.089137 -0.051131 -0.14418 0.15307 0.241935 0.4058 0.000767 0.39972 -0.418426 0.22792 -0.11006 -0.50171 -0.290494 0.010596 -1.4155 "PRAD"
"Sample_4090" -0.057439 0.07407 -0.23392 -0.05496 0.073373 0.25748 0.096415 0.56336 -0.403769 0.00338 0.31541 -0.0577 -0.065324 0.011355 -1.2807 "PRAD"
"Sample_4091" 0.134119 -0.149653 0.61142 -0.37654 0.146366 0.06018 -0.119495 0.08656 -0.322985 0.43512 -0.09223 -0.28712 -0.014088 0.329585 -0.39453 "KIRC"
"Sample_4092" 0.05239 0.41846 0.45522 -0.36489 0.156349 0.14047 0.008979 0.34897 -0.464779 0.40298 0.22808 -0.54431 -0.014659 -0.53379 -0.20751 "KIRC"
"Sample_4093" 0.162168 0.123663 0.64657 -0.32926 0.098781 0.05853 -0.348976 -0.09189 -0.586166 0.18517 0.55399 -0.80971 -0.240602 -0.380975 -0.58671 "KIRC"
"Sample_4094" -0.065975 0.195699 0.08606 -0.32166 0.093304 -0.11959 -0.040585 0.45154 -0.145767 0.38622 0.44032 -0.41774 -0.14271 -0.095282 -0.25611 "KIRC"
"Sample_4095" -0.253342 1.075659 0.73033 -0.44457 0.133438 -0.00019 -0.408717 -0.10391 -0.45856 0.13217 -0.12044 -0.76281 -0.320035 0.098712 -1.4833 "KIRC"
"Sample_4096" 0.222566 0.425759 0.64659 -0.02724 0.102062 0.07072 -0.013313 0.19346 -0.197402 0.1144 -0.41523 -0.46053 -0.135 -0.134305 -0.61499 "KIRC"
"Sample_4097" -0.408772 -0.450051 0.61284 0.44229 -0.024987 -0.20616 -0.391238 -0.02536 -0.538992 -0.12018 -0.27215 -0.63514 -0.414692 -0.406903 -0.83501 "KIRC"
"Sample_4098" 0.082147 0.49117 0.07611 -0.26486 0.110849 0.12839 -0.021256 0.28768 -0.306814 0.52475 -0.01968 -0.64826 -0.155806 -0.119651 -0.38894 "KIRC"
"Sample_4099" 0.026191 0.691339 0.06507 -0.08884 0.113283 0.03387 -0.275758 0.17751 -0.298641 0.40069 1.18936 -0.4085 -0.226434 0.387756 -0.35618 "KIRC"
"Sample_4100" -0.19933 -0.03724 0.61293 -0.25396 0.155699 0.14453 -0.163089 0.20603 -0.464697 0.29406 0.02206 -0.79286 -0.230759 -0.143626 -0.65379 "KIRC"
"Sample_4101" -0.137525 0.238781 0.38786 -0.24534 0.078326 -0.08899 -0.334306 0.0991 -0.480793 0.15601 0.23505 -0.69435 -0.362165 -0.444884 -0.25475 "KIRC"
"Sample_4102" 0.217005 0.699085 0.60438 0.15923 0.022556 -0.12718 -0.336665 -0.1253 -0.612153 0.00352 -0.1347 -0.96784 -0.444419 -0.329565 -1.3217 "KIRC"
"Sample_4103" -0.172556 0.085343 -0.34817 0.0072 0.094045 0.33164 -0.068097 0.53552 -0.153887 0.34726 -0.3506 -0.68832 -0.247522 -0.191839 -1.0772 "PRAD"
"Sample_4104" -0.035901 -0.052584 -0.77033 -0.18549 0.034882 0.2268 -0.191774 0.36082 0.182632 0.34079 -0.49637 -0.74986 -0.277767 -0.166245 -0.71168 "PRAD"
"Sample_4105" -0.204692 -0.079114 -0.22178 0.15722 0.177469 0.33802 -0.079753 0.68912 -0.16244 0.69926 0.06142 -0.09387 -0.3493 0.330071 -0.97535 "PRAD"
"Sample_4106" -0.064487 0.013491 -0.42415 -0.2567 0.114955 0.18341 0.063646 0.28751 -0.129264 0.12506 -0.15177 -0.41543 -0.368641 -0.044954 -1.0537 "PRAD"
"Sample_4107" -0.232807 -0.269042 -0.09705 0.40959 0.129325 0.24592 -0.007809 0.2034 -0.253306 0.35713 -0.59432 -0.58961 -0.362356 -0.484313 -0.85558 "PRAD"
"Sample_4108" -0.253408 -0.034081 -0.30036 0.51451 0.0816 0.05091 -0.140055 0.0764 -0.386519 0.11324 -0.40235 -0.43895 -0.351924 -0.128071 -1.3018 "PRAD"
"Sample_4109" -0.205399 -0.037582 -0.46745 0.1596 0.140812 0.31977 0.228944 1.04242 -0.323147 1.04237 0.06774 0.08991 0.122687 0.004058 -0.48001 "PRAD"
"Sample_4110" 0.14913 -0.093933 -0.33173 -0.14389 0.179477 0.39909 0.234026 0.86693 -0.017164 0.44145 -0.34847 0.37052 -0.055855 0.167864 -0.91052 "PRAD"
"Sample_4111" -0.255103 -0.216289 -0.11283 -0.16914 0.129374 0.29207 -0.28828 0.4879 -0.749697 0.17862 -0.17639 -0.41388 -0.320012 0.023044 -1.5924 "PRAD"
"Sample_4112" -0.040232 -0.013196 -0.1715 0.4616 0.176868 0.37258 0.021799 0.50876 -0.37358 0.31901 0.36634 -0.03494 -0.057089 0.367283 -1.2783 "PRAD"
"Sample_4113" -0.146622 -0.104952 -0.01598 0.20324 0.21151 0.38917 -0.164349 0.62003 -0.512177 0.33885 -0.25575 -0.09288 -0.241438 0.354258 -1.4796 "PRAD"
"Sample_4114" -0.492511 -0.356938 -0.12431 0.00124 0.199618 0.3527 -0.258825 0.07895 -0.730845 0.15037 -0.26391 -0.54327 -0.414935 -0.065498 -1.8374 "PRAD"
"Sample_4115" 0.103265 0.621237 0.40159 0.21718 0.109967 0.00815 -0.305578 -0.03309 -0.525835 0.01229 0.25128 -0.4897 -0.28757 -0.665758 -0.50742 "KIRC"
"Sample_4116" -0.100955 0.120679 0.30475 -0.30117 0.14885 0.05554 -0.5774 -0.24582 -0.33832 0.15791 -0.07734 -0.9265 -0.130992 -0.390529 -1.0164 "KIRC"
"Sample_4117" -1.087352 -0.314321 0.10111 -0.28257 0.111751 -0.00514 -0.466967 0.38307 -0.867548 0.232 -0.49004 -0.35532 -0.21151 -0.33757 -1.6322 "KIRC"
"Sample_4118" -0.424018 -0.06202 0.0842 -0.33714 0.075108 0.05765 -0.270094 0.24933 -0.260359 0.08188 -0.40228 -0.30266 -0.274146 -0.436566 -0.59986 "KIRC"
"Sample_4119" 0.26933 0.913162 0.75036 0.18468 0.129346 0.18948 -0.09416 0.41547 -0.305402 0.54407 1.00318 -0.55042 -0.01786 0.058535 -0.14401 "KIRC"
"Sample_4120" -0.242235 0.0015 0.68203 -0.10728 0.21603 0.08584 -0.343173 -0.10568 -0.606444 0.05266 -0.16995 -0.65476 -0.420401 -0.086174 -1.0102 "KIRC"
"Sample_4121" -0.193563 0.185686 0.17205 0.13025 0.085412 -0.06961 -0.128989 0.13578 -0.429607 0.1725 -0.04995 -0.88606 -0.477132 -0.466339 -0.67255 "KIRC"
"Sample_4122" -0.082784 0.772521 0.10634 -0.00645 0.115641 0.30296 -0.48101 -0.30831 -0.584774 0.26139 -0.44099 -0.58919 -0.623866 -0.902803 -1.0571 "KIRC"
"Sample_4123" -0.375604 -0.152647 0.3525 0.37119 0.083216 0.23701 -0.323997 -0.24278 -0.627556 0.14704 0.14806 -0.8681 -0.454383 -0.508824 -0.43036 "KIRC"
"Sample_4124" 0.038447 0.256969 0.76005 0.21858 0.080844 0.12623 -0.175393 0.23817 -0.471689 0.39467 0.20595 -0.72831 -0.187441 -0.250961 -0.31915 "KIRC"
"Sample_4125" 0.068602 -0.237383 0.18995 -0.08285 0.169697 0.1374 -0.514492 -0.77919 -0.371374 0.29547 -0.14793 -0.42403 -0.557084 -0.431941 -1.2873 "KIRC"
"Sample_4126" 0.154854 1.059878 0.47464 0.51387 0.098921 -0.03217 -0.13996 0.15273 -0.225093 0.28964 0.95436 -0.69434 -0.112638 -0.375581 -0.35496 "KIRC"
"Sample_4127" 0.190444 0.266527 -0.44883 -0.20989 0.083363 0.22675 0.015648 0.21558 0.138547 -0.08026 -0.28314 -0.20903 -0.018557 -0.249827 -1.2113 "PRAD"
"Sample_4128" 0.510886 0.190334 -0.70607 0.11418 0.002065 0.07426 0.043626 0.47434 0.561757 0.0566 0.01006 0.3005 0.117826 0.39063 -1.0074 "PRAD"
"Sample_4129" -0.306625 -0.25327 -0.38399 -0.36559 0.04781 -0.05368 -0.326997 -0.27226 -0.248751 -0.67855 -1.07666 -0.83238 -0.648397 -0.944084 -1.6215 "PRAD"
"Sample_4130" 0.178343 0.163139 -0.50248 -0.38928 0.125337 0.11345 -0.281568 0.61799 -0.211237 5e-05 -0.1917 0.05332 -0.152184 0.151186 -1.4468 "PRAD"
"Sample_4131" 0.218272 0.185774 -0.51904 0.76315 0.042592 0.11512 -0.109551 0.04072 -0.246606 -0.50858 -0.61844 0.06069 -0.134666 -0.075487 -1.5471 "PRAD"
"Sample_4132" 0.3406 0.177598 -0.54395 -0.00518 -0.069221 -0.08076 0.111208 0.50486 -0.100012 0.2122 -0.39414 0.38091 -0.062014 0.434066 -0.95051 "PRAD"
"Sample_4133" 0.454988 -0.228018 -0.5072 0.56336 -0.047031 -0.06934 0.374622 0.87313 0.214559 0.83428 0.67473 0.4747 0.185404 0.838145 -0.18327 "PRAD"
"Sample_4134" 0.016542 0.117239 -0.41426 0.42304 0.064964 0.07686 -0.236831 0.59066 -0.384103 -0.20547 0.05215 0.16155 -0.084169 0.60535 -1.5175 "PRAD"
"Sample_4135" 0.081389 0.087855 -0.34341 0.79176 0.096221 0.14146 0.182518 0.2675 -0.051059 -0.04668 0.13459 0.02867 -0.147825 0.074141 -1.1573 "PRAD"
"Sample_4136" 0.371727 0.331027 -0.40864 0.60599 0.038478 0.03836 -0.033625 0.57131 -0.236844 0.19676 0.12157 0.25168 -0.050342 0.350766 -1.2352 "PRAD"
"Sample_4137" 0.070893 0.365636 -0.44726 -0.05602 0.028118 0.03786 0.122638 0.33427 -0.172392 -0.27493 0.23588 0.49878 0.24342 0.33843 -1.3323 "PRAD"
"Sample_4138" -0.09859 0.128206 -0.50967 0.21378 0.111248 0.09805 -0.273531 0.70816 -0.524566 0.22484 -0.12074 0.78929 -0.145282 0.720306 -1.5554 "PRAD"
"Sample_4139" 0.507903 0.570926 0.62662 -0.4094 0.011503 -0.27176 -0.1504 0.08852 -0.303067 0.0141 0.54434 -0.21529 0.249435 -0.214478 -0.59202 "KIRC"
"Sample_4140" 0.344334 0.652476 0.06562 -0.02508 0.035365 -0.13828 -0.077277 -0.04837 -0.411787 0.1613 0.29132 -0.15456 -0.001621 -0.147401 -0.35118 "KIRC"
"Sample_4141" 0.569546 0.578619 0.72438 -0.43419 -0.035264 -0.28215 -0.176383 0.2714 -0.301919 0.39998 0.67135 0.00318 0.169407 -0.025311 -0.18183 "KIRC"
"Sample_4142" 0.202767 0.692625 0.42206 0.87361 -0.023147 -0.23457 -0.149497 0.2619 -0.316386 0.25127 0.12493 -0.41403 -0.330692 -0.692657 -0.13298 "KIRC"
"Sample_4143" -0.472116 -0.052225 0.29424 -0.14062 0.031049 -0.2312 -0.084761 0.19075 -0.483651 0.04426 0.19256 -0.51024 -0.296329 -0.479819 -0.42743 "KIRC"
"Sample_4144" -0.158296 -0.091105 0.44734 -0.19929 0.117327 0.08124 -0.24406 -0.24061 -0.564544 0.05534 0.21305 -0.3954 -0.335138 -0.616978 -0.77703 "KIRC"
"Sample_4145" 0.239396 0.764197 0.6084 0.15996 -0.030213 -0.18308 -0.310107 -0.08799 -0.346215 -0.01947 0.53558 -0.40922 -0.174783 -0.106444 -0.61392 "KIRC"
"Sample_4146" -0.122705 0.633613 0.28162 -0.26031 0.018967 -0.04891 -0.224986 -0.01785 -0.517526 -0.06046 0.9502 -0.51451 -0.195514 -0.456209 -0.50923 "KIRC"
"Sample_4147" 0.396166 0.951333 0.08313 -0.4006 0.00529 -0.16668 -0.05034 0.13813 -0.18952 0.17443 0.32848 -0.31177 -0.043451 -0.194865 -0.33129 "KIRC"
"Sample_4148" 0.264513 0.670901 0.77285 -0.14871 0.039234 0.04852 -0.088183 0.20915 -0.302279 0.31024 0.28718 -0.08945 0.027113 0.015281 -0.22137 "KIRC"
"Sample_4149" 0.252551 0.500351 0.78806 -0.8409 -0.105991 -0.3864 -0.16306 0.45511 -0.185386 0.16101 -0.25262 -0.02676 0.085291 0.033113 0.083204 "KIRC"
"Sample_4150" 0.235566 0.298974 0.3119 -0.44651 -0.130602 -0.44976 -0.214706 0.02328 -0.48636 -0.23344 0.03888 -0.55323 -0.073921 -0.507225 -0.71807 "KIRC"
"Sample_4151" 0.005641 0.142167 -0.41376 0.02982 0.132948 0.27462 0.114586 0.03955 0.317441 -0.4486 -0.02558 -0.49351 -0.010271 -0.410162 -1.2793 "PRAD"
"Sample_4152" 0.185347 -0.643673 -0.43363 -0.14459 0.035848 0.16628 -0.225947 0.22186 0.074673 -0.3166 0.20988 -0.25356 -0.063496 -0.197607 -1.4748 "PRAD"
"Sample_4153" 0.069103 0.229958 -0.4454 0.46012 0.063453 0.02824 -0.085591 0.141 0.136911 -0.19296 -0.22554 0.01975 -0.0832 0.210399 -1.4642 "PRAD"
"Sample_4154" 0.074023 0.290099 -0.68286 0.68746 0.07438 0.04893 -0.283505 0.44662 -0.286917 -0.05007 -0.2251 -0.2594 -0.360868 0.107983 -1.5179 "PRAD"
"Sample_4155" 0.077713 -0.180918 -0.58247 0.70355 0.011398 0.02607 0.11032 0.19253 0.201864 -0.26593 -0.28741 -0.04089 -0.107471 0.1061 -1.2212 "PRAD"
"Sample_4156" 0.388027 0.243289 -0.79081 -0.23164 0.024459 0.05965 0.253122 0.79018 -0.037489 0.77955 0.50869 0.29155 0.068217 0.53379 -0.62483 "PRAD"
"Sample_4157" -0.51203 -0.24814 0.02061 0.02743 0.122434 0.06601 -0.406147 -0.03584 -0.942385 -0.52946 -0.74459 -0.90653 -0.617148 -0.550276 -2.0996 "PRAD"
"Sample_4158" 0.332328 0.067295 -0.55118 0.23052 0.095437 0.08993 0.153033 0.41416 0.046011 0.7348 0.50174 0.42872 0.236178 0.491619 -0.64256 "PRAD"
"Sample_4159" -0.235635 -0.110852 -0.50652 1.35544 0.104658 0.11718 -0.041298 0.24283 -0.212384 -0.51662 -0.36313 -0.21141 -0.154237 -0.148524 -1.6958 "PRAD"
"Sample_4160" -0.224447 0.128661 -0.3828 0.79284 0.051847 -0.06255 0.004545 0.32623 -0.261032 -0.45314 0.0194 0.07618 -0.20846 0.168036 -1.4994 "PRAD"
"Sample_4161" 0.606072 -0.394016 -0.43913 -0.05412 0.000519 0.07688 0.902635 0.78546 0.141269 1.0143 1.66989 0.97165 0.297072 0.655536 -0.49925 "PRAD"
"Sample_4162" -0.133444 -0.175203 0.06493 0.53416 -0.004888 -0.08477 -0.069597 0.08413 -0.516874 -0.47882 -0.42231 0.18518 -0.27068 0.02186 -1.6184 "PRAD"
"Sample_4163" 0.403709 0.29227 0.19121 -0.34869 0.032063 -0.11056 -0.124883 -0.181 -0.325204 0.04149 0.2417 -0.44197 0.087298 -0.327267 -0.52289 "KIRC"
"Sample_4164" 0.370571 0.54205 0.28266 0.13207 0.06141 -0.11209 0.01168 0.00872 -0.364925 0.20726 0.19896 -0.31135 0.049977 -0.108853 -0.31233 "KIRC"
"Sample_4165" 0.192742 0.385383 0.41675 -0.51734 0.12256 0.01228 -0.168615 -0.05265 -0.362467 0.25711 0.70194 -0.35789 -0.016418 -0.277881 -0.7267 "KIRC"
"Sample_4166" -0.268685 -0.008277 0.33574 -0.70882 0.006585 -0.03257 -0.44672 -0.27066 -0.45241 0.02786 -0.20672 -0.38645 -0.354756 -0.865025 -0.21005 "KIRC"
"Sample_4167" -0.202512 0.258037 0.34337 -0.6285 0.089365 -0.1278 -0.162507 -0.10531 -0.563913 -0.28915 -0.32323 -0.74973 -0.376253 -0.676161 -0.86355 "KIRC"
"Sample_4168" 0.159435 0.049544 0.3057 -0.67471 -0.091209 -0.28154 -0.207557 0.13919 -0.339189 0.07526 -0.0034 -0.56569 -0.111311 -0.376978 -0.20763 "KIRC"
"Sample_4169" -0.136258 -0.030439 0.51381 0.92404 0.02951 -0.27934 -0.474305 -0.4255 -0.816701 -0.25488 -0.30439 -0.95376 -0.595132 -0.251993 -1.6648 "KIRC"
"Sample_4170" 0.422557 0.524203 0.70158 -0.40788 0.006732 -0.17154 -0.082235 0.26635 -0.257515 0.2054 0.19259 -0.3841 -0.078108 -0.17257 -0.38026 "KIRC"
"Sample_4171" -0.282974 -0.118563 0.03545 -0.36925 0.006627 -0.13245 -0.312327 -0.1222 -0.63983 -0.38846 -0.3496 -0.48891 -0.284571 -0.766697 -0.97207 "KIRC"
"Sample_4172" 0.087598 -0.012032 0.27631 -0.19684 -0.049346 -0.12727 -0.236467 0.11189 -0.480874 -0.06779 0.21578 -0.44377 -0.210576 -0.454782 -0.44322 "KIRC"
"Sample_4173" 0.41553 0.490119 1.36911 -0.7238 -0.079449 -0.28492 -0.235732 0.13077 -0.429987 0.10789 -0.04542 -0.04005 0.008655 0.129296 -0.43833 "KIRC"
"Sample_4174" 0.431072 0.965583 0.26135 -0.16058 -0.056692 -0.25658 -0.257631 -0.08073 -0.072844 0.09734 -0.04873 -0.01844 -0.037495 -0.355169 -0.65694 "KIRC"
"Sample_4175" 0.153727 0.324953 -0.10877 -0.23264 0.039821 0.20878 0.088537 0.40471 0.025089 0.00532 -0.35483 -0.17011 -0.034496 -0.283487 -1.268 "PRAD"
"Sample_4176" -0.347961 -0.115482 -0.00869 1.04807 -0.097246 -0.12224 -0.310005 -0.10922 -0.357111 -0.21425 -0.32353 -0.24305 -0.541031 -0.378091 -1.3336 "PRAD"
"Sample_4177" -0.055678 0.003145 -0.35916 -0.24255 0.11655 0.03552 -0.333076 0.11384 -0.211875 -0.55666 -0.3498 -0.08069 -0.476342 -0.72568 -1.9503 "PRAD"
"Sample_4178" 0.008108 0.023723 -0.30233 0.00115 -0.021328 -0.10206 -0.021991 0.01792 -0.005392 -0.08311 -0.34209 0.09439 -0.306219 -0.089948 -1.0853 "PRAD"
"Sample_4179" 0.064359 -0.054396 -0.20048 0.98642 0.013692 -0.00532 -0.13003 0.30944 -0.281947 0.18554 -0.22029 0.01792 -0.399411 0.028954 -1.4888 "PRAD"
"Sample_4180" 0.179145 0.235927 -0.27346 -0.04114 -0.077973 -0.03016 -0.014209 0.26648 -0.151008 -0.13068 -0.25034 0.22068 -0.191904 -0.015909 -1.3927 "PRAD"
"Sample_4181" 0.039302 0.099173 0.0845 0.49831 -0.233795 -0.24111 -0.05109 0.41708 -0.465451 0.14391 -0.24301 0.54896 -0.221446 0.57667 -1.197 "PRAD"
"Sample_4182" -0.034281 -0.0397 -0.4436 -0.0214 0.087721 0.22388 -0.076782 0.10788 -0.363981 -0.52427 0.22945 -0.06587 -0.113872 -0.646094 -2.0506 "PRAD"
"Sample_4183" 0.245738 0.209905 -0.22846 -0.31465 0.056226 0.1145 0.403109 0.60991 -0.025785 0.18267 0.22544 0.12856 -0.083033 0.01265 -0.88151 "PRAD"
"Sample_4184" 0.012992 0.115873 -0.51919 0.14137 -0.036796 -0.06238 0.406473 0.32871 0.147148 0.22214 0.2414 1.02917 0.252733 0.189268 -0.84148 "PRAD"
"Sample_4185" 0.123572 -0.027787 -0.32596 -0.19527 -0.036894 -0.03364 0.244189 0.55594 -0.190491 0.16507 0.17964 0.41777 -0.134862 0.430099 -0.98177 "PRAD"
"Sample_4186" 0.161939 0.070516 -0.09882 0.54905 0.02364 -0.01271 0.193322 0.09058 -0.366696 -0.24323 -0.05211 0.39858 -0.032749 0.243189 -1.2812 "PRAD"
"Sample_4187" -0.230767 0.354476 0.40075 0.33168 -0.022497 -0.21287 -0.237763 0.00276 -0.727335 -0.53557 -0.74096 -0.78321 -0.400484 -1.138463 -1.6326 "KIRC"
"Sample_4188" -0.042722 0.414389 0.88655 -0.27946 0.031182 -0.08513 -0.211787 -0.04832 -0.296 0.11824 -0.34693 0.29329 -0.046905 -0.44622 -0.63059 "KIRC"
"Sample_4189" 0.388064 0.558383 0.36659 -0.14536 0.113941 -0.05049 0.048139 0.18162 -0.182589 0.00442 0.04562 -0.58158 -0.188456 -0.281959 -0.71837 "KIRC"
"Sample_4190" 0.524358 0.232969 0.2816 -0.49054 0.125344 0.13811 -0.028616 -0.03508 -0.360526 0.10621 0.53235 -0.62186 -0.069199 -0.209569 -0.45074 "KIRC"
"Sample_4191" -0.020132 0.584519 0.57824 -0.30877 0.258368 0.34189 -0.137885 -0.28103 -0.561401 0.11259 -0.15703 -0.5553 -0.298763 -0.218961 -0.86621 "KIRC"
"Sample_4192" 0.021528 0.517183 0.8331 1.23225 0.067419 -0.10948 -0.22361 -0.23252 -0.382385 0.0131 0.33628 -0.85303 -0.338223 -0.361737 -0.89998 "KIRC"
"Sample_4193" 0.044465 -0.238434 0.9613 -0.53272 -0.093363 -0.19601 -0.277819 0.36983 -0.353262 -0.08556 0.39475 -0.19221 -0.193668 -0.009665 -0.58637 "KIRC"
"Sample_4194" -0.030709 0.46906 -0.12908 0.06408 0.078634 -0.03051 -0.141889 0.05019 -0.376594 -0.23026 0.18329 -0.48625 -0.176334 -0.165617 -1.1053 "KIRC"
"Sample_4195" -0.059169 -0.078484 0.70726 -0.35226 -0.016298 -0.12644 -0.233096 0.08667 -0.429376 -0.13149 -0.35182 -0.33276 -0.124667 -0.263824 -0.88943 "KIRC"
"Sample_4196" 0.734926 1.143931 0.48403 0.0794 -0.025225 -0.23133 0.087817 0.11797 -0.18058 0.03964 0.02902 -0.02599 0.152264 0.066166 -0.50042 "KIRC"
"Sample_4197" -0.470157 0.14839 0.59038 -0.18964 0.001422 -0.20304 -0.218317 0.3161 -0.350254 -0.2148 -0.74991 -0.40943 -0.304299 -0.394951 -0.96324 "KIRC"
"Sample_4198" 0.199349 0.706131 0.27665 -0.48393 -0.057762 -0.24984 -0.233373 -0.25968 -0.523975 -0.19964 -0.11641 -0.68376 -0.390254 -0.271323 -0.90677 "KIRC"
"Sample_4199" -0.031003 0.219612 -0.42943 0.00269 0.074884 0.02804 0.04728 0.24468 -0.005257 -0.04464 -0.47825 -0.05827 -0.069274 -0.077268 -1.1448 "PRAD"
"Sample_4200" -0.111871 0.139226 -0.27097 -0.15846 0.086651 0.15925 -0.529729 0.49396 -0.349128 -0.01672 -0.32318 -0.12503 -0.433883 -0.075669 -1.5918 "PRAD"
